,Pt_No,latitude,longitude,time,speed
0,1,-35.36137665962843,149.1659589544513,0,5
1,2,-35.361339807055906,149.16617436663302,4,5
2,3,-35.36130295763448,149.16638977952036,8,5
3,4,-35.36126611144467,149.16660519313376,12,5
4,5,-35.36122926857071,149.16682060749463,16,5
5,6,-35.3611924291009,149.16703602262538,20,5
6,7,-35.36115559312785,149.16725143854958,24,5
7,8,-35.361118760748816,149.16746685529196,28,5
8,9,-35.36108193206607,149.1676822728784,32,5
9,10,-35.36104510718731,149.16789769133632,36,5
10,11,-35.36100828622605,149.16811311069452,40,5
11,12,-35.360971469302136,149.16832853098342,44,5
12,13,-35.36093465654231,149.1685439522352,48,5
13,14,-35.36089784808082,149.16875937448395,52,5
14,15,-35.36086104406006,149.1689747977658,56,5
15,16,-35.36082424463142,149.1691902221191,60,5
16,17,-35.36078744995608,149.16940564758485,64,5
17,18,-35.36075066020602,149.16962107420656,68,5
18,19,-35.36071387556518,149.16983650203096,72,5
19,20,-35.36067709623073,149.17005193110802,76,5
20,21,-35.36064032241451,149.17026736149143,80,5
21,22,-35.360603554344806,149.17048279323907,84,5
22,23,-35.36056679226831,149.17069822641346,88,5
23,24,-35.36053003645245,149.17091366108232,92,5
24,25,-35.360493287188035,149.17112909731932,96,5
25,26,-35.360456544792605,149.17134453520495,100,5
26,27,-35.360419809614235,149.17155997482723,104,5
27,28,-35.36038308203616,149.17177541628328,108,5
28,29,-35.36034636248233,149.17199085968034,112,5
29,30,-35.3603096514244,149.1722063051377,116,5
30,31,-35.36027294939018,149.17242175278898,120,5
31,32,-35.3602362569743,149.17263720278444,124,5
32,33,-35.3601995748518,149.1728526552948,128,5
33,34,-35.36016290379566,149.17306811051535,132,5
34,35,-35.36012624469976,149.17328356867193,136,5
35,36,-35.36008959860963,149.17349903002858,140,5
36,37,-35.36005296676478,149.17371449489818,144,5
37,38,-35.36001635065819,149.17392996365737,148,5
38,39,-35.359979752122854,149.17414543676853,152,5
39,40,-35.35994317346327,149.17436091481247,156,5
40,41,-35.35990661766419,149.17457639854106,160,5
41,42,-35.359870088744366,149.17479188896598,164,5
42,43,-35.35983359240723,149.17500738752173,168,5
43,44,-35.35979713738249,149.17522289640186,172,5
44,45,-35.359760738709376,149.17543841938038,176,5
